obj_plate_obj_ID,obj_plate,obj_plate_roman,obj_plate_num,obj_geo_B-U-S,obj_block,obj_house,obj_house_roman,obj_room,obj_geo_B-U-S_2,obj_block2,obj_house2_roman,obj_house2,obj_room2,obj_geo_STRT-S,obj_street_abbr,obj_street,obj_st_num_2dig,obj_st_num,obj_level_ft,obj_time_cat,obj_admin_blockorigtext,obj_admin_room2origtext,obj_admin_blockadj,obj_admin_blocksub,obj_admin_roomadj,obj_admin_datanotes,obj_source_cat,obj_category,addl_type,addl_description,addl_dimension,bead_Len_or_Ht_in,bead_width_in,bead_Thickness_in,bead_Diameter_in,bead_Pottery,bead_Shell,bead_Falence,bead_Vltreous_paste,bead_Paste,bead_Steatite,bead_Gold,bead_Silver,bead_Copper_or_Bronze,bead_Carnelian,bead_Lapls_lazuli,bead_Jasper,bead_Quartz,bead_Green_felspar,bead_Onyx,bead_Agate,bead_Haematte,bead_Limestone,bead_Serpentine,bead_Breccia,bead_Turquoise,metl_type,metl_copper,metl_bronze,metl_length_in,metl_width_in,metl_thickness_of_tang_in,metl_thickness_of_blade_in,metl_height_in,metl_diameter_in,ptip_thickness_in,ptip_width_in,ptip_length_in,ptip_slips_lt_red,ptip_slips_dark_red,ptip_slips_cream_or_white,ptip_slips_green,ptip_slips_pink,ptip_degrainssants_sand,ptip_degrainssants_mica,ptip_degrainssants_lime,ptip_degrainssants_dirt,ptip_paints_black,ptip_paints_red,ptip_paints_green,ptip_paints_yellow,ptip_paints_white,ptip_width_and_length_orig,ptup_field_No,ptup_slips_lt_red,ptup_slips_dark_red,ptup_slips_cream_or_white,ptup_slips_green,ptup_slips_pink,ptup_degrainssants_sand,ptup_degrainssants_mica,ptup_degrainssants_lime,ptup_degrainssants_dirt,ptup_paints_black,ptup_paints_red,ptup_paints_green,ptup_paints_yellow,ptup_paints_white,ptup_height,ptup_length,ptup_breadth,ptup_thickness,ptpb_type,ptpb_field_No,ptpb_pastes_lt_red,ptpb_pastes_pink,ptpb_pastes_grey,ptpb_pastes_drab,ptpb_slips_crown_or_white,ptpb_slips_red,ptpb_slips_brown_or_purple,ptpb_slips_black,ptpb_slips_pink,ptpb_degrainssants_sand,ptpb_degrainssants_mica,ptpb_degrainssants_lime,ptpb_degrainssants_dirt,ptpb_paints_black,ptpb_paints_purple_black,ptpb_paints_red,ptpb_paints_white,ptpb_trimming,seal_type,seal_material,seal_dimensions_L_in,seal_dimensions_W_in,seal_dimensions_T_in,seal_dimensions_in_orig
069-008-X,069,LXIX,8,01-X-03-02-X,1,03,III,2,,,,,,,,,,,-11.8,Intermediate I,1,,01,,02,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,2.6,2.4,,1,,,,,1,1,,1,,,,,2.6*2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-009-X,069,LXIX,9,07-X-07-00-X,7,07,VII,,10-X-02-00-X,10,02,II,,,,,,,-7.5,Late III,7&10,,07,,00,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.26,4.09,,1,,,,,,1,,1,,,,,5.26*4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-011-X,069,LXIX,11,07-X-01-19-X,7,01,I,19,,,,,,,,,,,-11.5,Intermediate I,7,,07,,19,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4.66,3.35,1,,,,,,1,,,1,,,,,4.66*3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-012-X,069,LXIX,12,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,10,7.86,1,,,,,,,,,1,,,,,10.0*7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-013-X,069,LXIX,13,07-X-07-00-X,7,07,VII,,10-X-02-00-X,10,02,II,,,,,,,-7.8,Late III, 7 & 10,,07,,00,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4.78,4.4,,1,,,,,1,1,,1,,,,,4.78*4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-014-X,069,LXIX,14,01-X-05-48-X,1,05,V,48,,,,,,,,,,,-11.5,Intermediate I,1,,01,,48,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,7.57,6.22,,1,,,,,,,,1,,,,,7.57*6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-159-X,088,LXXXVIII,159,07-X-02-29-X,7,02,II,29,,,,,,,,,,,-7.4,Late III,7,,07,,29,,Seal_M,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Steatites,1.29,0.45,0.35,1.29 * 0.45 * 0.35
069-016-X,069,LXIX,16,07-X-07-00-X,7,07,VII,,04-X-00-00-X,4,,,,,,,,,-7.5,Late III,7 & 4 ,,07,,00,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,5.62,5.5,1,,,,,,1,1,,1,,,,,5.62*5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-017-X,069,LXIX,17,07-X-07-00-X,7,07,VII,,04-X-00-00-X,4,,,,,,,,,-7.8,Late III,7 & 4,,07,,00,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,4.62,3.73,,1,,,,,,,,1,,,,,4.62*3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-018-X,069,LXIX,18,01-X-07-39-X,1,07,VII,39,,,,,,,,,,,-8.6,Late III,1,,01,,39,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,5.39,2.95,,1,,,,1,1,,,1,,,,,5.39*2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-019-X,069,LXIX,19,08-X-03-14-X,8,03,III,14,,,,,,,,,,,-9.2,Late III,8,,08,,14,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,7.5,5.31,,1,,,,,,1,,1,,,,,7.5*5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-020-X,069,LXIX,20,07-X-07-00-X,7,07,VII,,04-X-00-00-X,4,,,,,,,,,-7.8,Late III,7 & 4,,07,,00,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,5.9,4.74,,1,,,,,1,1,,1,,,,,5.9*4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-021-X,069,LXIX,21,10-X-03-65-X,10,03,III,65,,,,,,,,,,,-7.8,Late III,10,,10,,65,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,3.37,2.77,,,,,,,1,,,1,,,,,3.37*2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
