Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Class,x,y,Class_new,Path,,,,,,,,,,,,
056-019-X,4,0,3,-7,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13748153678563,27.32657154220549,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_4/House_0/Room_3/056-019-x.png,,,,,,,,,,,,
056-020-X,9,1,27,-3.5,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13725277565722,27.32701849991655,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_1/Room_27/056-020-x.png,,,,,,,,,,,,
056-021-X,9,1,27,-5.4,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13725277565722,27.32701849991655,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_1/Room_27/056-021-x.png,,,,,,,,,,,,
056-022-X,7,2,89,-9.6,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13726856032412,27.32683601680181,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_2/Room_89/056-022-x.png,,,,,,,,,,,,
056-023-X,9,2,11,-7.3,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13703904,27.32700430879081,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_2/Room_11/056-023-x.png,,,,,,,,,,,,
056-024-X,7,3,44,-5.5,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13738268,27.32681575,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_3/Room_44/056-024-x.png,,,,,,,,,,,,
056-025-X,9,6,32,-10,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13691437157924,27.326887650571138,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_6/Room_32/056-025-x.png,,,,,,,,,,,,
056-026-X,7,1,9,-5.6,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13715852,27.32673193853581,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_1/Room_9/056-026-x.png,,,,,,,,,,,,
056-027-X,9,6,78,-9.8,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13691437157924,27.326887650571138,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_6/Room_78/056-027-x.png,,,,,,,,,,,,
056-030-X,9,4,7,-6.4,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_7/056-030-x.png,,,,,,,,,,,,
056-035-X,7,4,72,-7.7,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13749372,27.32680897,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_4/Room_72/056-035-x.png,,,,,,,,,,,,
056-039-X,10,2,25,-7.9,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696757020749,27.326793023227424,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_10/House_2/Room_25/056-039-x.png,,,,,,,,,,,,
056-044-X,7,7,58,-4.5,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13735250456675,27.326651737149003,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_7/Room_58/056-044-x.png,,,,,,,,,,,,
056-046-X,9,8,15,-4.7,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13686443,27.32711984250432,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_8/Room_15/056-046-x.png,,,,,,,,,,,,
056-049-X,9,2,11,-7.3,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13703904,27.32700430879081,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_2/Room_11/056-049-x.png,,,,,,,,,,,,
056-050-X,9,4,7,-6.4,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_7/056-050-x.png,,,,,,,,,,,,
056-052-X,9,9,68,-9.7,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13699991543639,27.32712846,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_9/Room_68/056-052-x.png,,,,,,,,,,,,
056-054-X,10,2,26,-11.1,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696757020749,27.326793023227424,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_10/House_2/Room_26/056-054-x.png,,,,,,,,,,,,
056-055-X,9,4,40,-8.9,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_40/056-055-x.png,,,,,,,,,,,,
056-056-X,9,4,4,-6.2,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_4/056-056-x.png,,,,,,,,,,,,
057-001-X,9,1,37,-11.6,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13725277565722,27.32701849991655,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_1/Room_37/057-001-x.png,,,,,,,,,,,,
057-002-X,9,8,21,-4.4,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13686443,27.32711984250432,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_8/Room_21/057-002-x.png,,,,,,,,,,,,
057-003-X,7,3,52,-11.9,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13738268,27.32681575,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_3/Room_52/057-003-x.png,,,,,,,,,,,,
057-004-X,4,0,,-9.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13748153678563,27.32657154220549,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_4/House_0/Room_0/057-004-x.png,,,,,,,,,,,,
057-009-X,9,9,65,-6.1,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13699991543639,27.32712846,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_9/Room_65/057-009-x.png,,,,,,,,,,,,
057-016-X,7,5,78,-8,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13748123,27.32672203,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_5/Room_78/057-016-x.png,,,,,,,,,,,,
057-018-X,9,1,34,-11.5,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13725277565722,27.32701849991655,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_1/Room_34/057-018-x.png,,,,,,,,,,,,
057-023-X,9,9,68,-7.7,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13699991543639,27.32712846,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_9/Room_68/057-023-x.png,,,,,,,,,,,,
057-025-X,9,6,36,-5.8,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13691437157924,27.326887650571138,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_6/Room_36/057-025-x.png,,,,,,,,,,,,
057-028-X,9,10,83,-8.2,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_83/057-028-x.png,,,,,,,,,,,,
057-029-X,9,10,83,-8.2,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_83/057-029-x.png,,,,,,,,,,,,
057-030-X,9,10,83,-8.2,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_83/057-030-x.png,,,,,,,,,,,,
057-031-X,9,10,83,-8.2,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_83/057-031-x.png,,,,,,,,,,,,
