image_file,plate,house,room,full_path
055-024-x.png,055-024-x,House_10,Room_81,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_81/055-024-x.png
073-010-x.png,073-010-x,House_10,Room_81,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_81/073-010-x.png
073-009-x.png,073-009-x,House_10,Room_81,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_81/073-009-x.png
073-011-x.png,073-011-x,House_10,Room_81,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_81/073-011-x.png
056-018-x.png,056-018-x,House_10,Room_81,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_81/056-018-x.png
074-011-x.png,074-011-x,House_10,Room_85,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_85/074-011-x.png
057-028-x.png,057-028-x,House_10,Room_83,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_83/057-028-x.png
057-031-x.png,057-031-x,House_10,Room_83,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_83/057-031-x.png
057-029-x.png,057-029-x,House_10,Room_83,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_83/057-029-x.png
057-030-x.png,057-030-x,House_10,Room_83,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_83/057-030-x.png
077-003-x.png,077-003-x,House_10,Room_83,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_83/077-003-x.png
058-007-x.png,058-007-x,House_10,Room_55,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_55/058-007-x.png
054-005-x.png,054-005-x,House_10,Room_55,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_55/054-005-x.png
067-025-x.png,067-025-x,House_6,Room_0,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_0/067-025-x.png
070-014-x.png,070-014-x,House_6,Room_0,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_0/070-014-x.png
060-054-x.png,060-054-x,House_6,Room_0,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_0/060-054-x.png
075-010-x.png,075-010-x,House_6,Room_34,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_34/075-010-x.png
055-014-x.png,055-014-x,House_6,Room_34,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_34/055-014-x.png
060-025-x.png,060-025-x,House_6,Room_32,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_32/060-025-x.png
055-026-x.png,055-026-x,House_6,Room_32,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_32/055-026-x.png
060-028-x.png,060-028-x,House_6,Room_32,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_32/060-028-x.png
